166  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=114, nb_calimsMax=2, nb_claims=2 Nb_Messages=216
167  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=106, nb_calimsMax=3, nb_claims=10 Nb_Messages=189
168  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=114, nb_calimsMax=3, nb_claims=4 Nb_Messages=222
169  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=119, nb_calimsMax=3, nb_claims=11 Nb_Messages=246
170  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=119, nb_calimsMax=3, nb_claims=24 Nb_Messages=219
171  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=112, nb_calimsMax=2, nb_claims=7 Nb_Messages=222
172  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=111, nb_calimsMax=3, nb_claims=18 Nb_Messages=201
173  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=109, nb_calimsMax=3, nb_claims=13 Nb_Messages=192
174  notDtected 2 0 nb_WinessCacheMax=6 nb_WinessCache=114, nb_calimsMax=6, nb_claims=10 Nb_Messages=246
175  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=114, nb_calimsMax=3, nb_claims=21 Nb_Messages=202
176  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=110, nb_calimsMax=3, nb_claims=5 Nb_Messages=194
177  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=110, nb_calimsMax=3, nb_claims=16 Nb_Messages=193
178  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=115, nb_calimsMax=2, nb_claims=7 Nb_Messages=239
179  notDtected 2 0 nb_WinessCacheMax=6 nb_WinessCache=119, nb_calimsMax=6, nb_claims=17 Nb_Messages=267
180  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=119, nb_calimsMax=3, nb_claims=6 Nb_Messages=226
181  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=112, nb_calimsMax=3, nb_claims=6 Nb_Messages=244
182  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=115, nb_calimsMax=3, nb_claims=36 Nb_Messages=213
183  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=113, nb_calimsMax=3, nb_claims=12 Nb_Messages=205
184  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=109, nb_calimsMax=3, nb_claims=17 Nb_Messages=204
185  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=112, nb_calimsMax=3, nb_claims=10 Nb_Messages=256
186  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=116, nb_calimsMax=2, nb_claims=3 Nb_Messages=224
187  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=113, nb_calimsMax=3, nb_claims=7 Nb_Messages=210
188  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=114, nb_calimsMax=3, nb_claims=11 Nb_Messages=240
189  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=112, nb_calimsMax=3, nb_claims=24 Nb_Messages=219
190  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=107, nb_calimsMax=4, nb_claims=20 Nb_Messages=211
191  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=113, nb_calimsMax=3, nb_claims=24 Nb_Messages=215
192  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=112, nb_calimsMax=3, nb_claims=5 Nb_Messages=211
193  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=110, nb_calimsMax=3, nb_claims=8 Nb_Messages=165
194  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=109, nb_calimsMax=3, nb_claims=11 Nb_Messages=196
195  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=120, nb_calimsMax=3, nb_claims=5 Nb_Messages=256
196  notDtected 2 0 nb_WinessCacheMax=5 nb_WinessCache=110, nb_calimsMax=5, nb_claims=10 Nb_Messages=220
197  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=114, nb_calimsMax=3, nb_claims=34 Nb_Messages=209
198  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=110, nb_calimsMax=3, nb_claims=6 Nb_Messages=196
199  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=112, nb_calimsMax=2, nb_claims=2 Nb_Messages=237
200  notDtected 3 0 nb_WinessCacheMax=5 nb_WinessCache=116, nb_calimsMax=5, nb_claims=20 Nb_Messages=246
201  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=89, nb_calimsMax=3, nb_claims=7 Nb_Messages=154
202  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=87, nb_calimsMax=3, nb_claims=8 Nb_Messages=197
203  notDtected 3 0 nb_WinessCacheMax=1 nb_WinessCache=97, nb_calimsMax=1, nb_claims=1 Nb_Messages=186
204  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=93, nb_calimsMax=3, nb_claims=16 Nb_Messages=169
205  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=98, nb_calimsMax=3, nb_claims=16 Nb_Messages=199
206  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=92, nb_calimsMax=3, nb_claims=3 Nb_Messages=199
207  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=99, nb_calimsMax=3, nb_claims=6 Nb_Messages=199
208  notDtected 3 0 nb_WinessCacheMax=3 nb_WinessCache=93, nb_calimsMax=3, nb_claims=3 Nb_Messages=173
