111  notDtected 2 0 nb_WinessCacheMax=1 nb_WinessCache=106, nb_calimsMax=1, nb_claims=5 Nb_Messages=239
112  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=106, nb_calimsMax=4, nb_claims=17 Nb_Messages=188
113  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=110, nb_calimsMax=3, nb_claims=8 Nb_Messages=212
114  notDtected 2 0 nb_WinessCacheMax=11 nb_WinessCache=95, nb_calimsMax=11, nb_claims=22 Nb_Messages=205
115  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=108, nb_calimsMax=3, nb_claims=10 Nb_Messages=222
116  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=112, nb_calimsMax=3, nb_claims=34 Nb_Messages=242
117  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=109, nb_calimsMax=3, nb_claims=14 Nb_Messages=204
118  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=101, nb_calimsMax=3, nb_claims=13 Nb_Messages=208
119  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=106, nb_calimsMax=3, nb_claims=23 Nb_Messages=213
120  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=109, nb_calimsMax=4, nb_claims=24 Nb_Messages=229
121  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=114, nb_calimsMax=3, nb_claims=6 Nb_Messages=222
122  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=106, nb_calimsMax=3, nb_claims=7 Nb_Messages=199
123  notDtected 2 0 nb_WinessCacheMax=1 nb_WinessCache=115, nb_calimsMax=1, nb_claims=1 Nb_Messages=239
124  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=108, nb_calimsMax=4, nb_claims=26 Nb_Messages=187
125  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=106, nb_calimsMax=2, nb_claims=9 Nb_Messages=215
126  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=111, nb_calimsMax=3, nb_claims=4 Nb_Messages=237
127  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=114, nb_calimsMax=2, nb_claims=15 Nb_Messages=212
128  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=113, nb_calimsMax=3, nb_claims=7 Nb_Messages=224
129  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=111, nb_calimsMax=3, nb_claims=20 Nb_Messages=225
130  notDtected 2 0 nb_WinessCacheMax=5 nb_WinessCache=102, nb_calimsMax=5, nb_claims=19 Nb_Messages=236
131  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=98, nb_calimsMax=3, nb_claims=18 Nb_Messages=199
132  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=109, nb_calimsMax=3, nb_claims=30 Nb_Messages=211
133  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=105, nb_calimsMax=2, nb_claims=3 Nb_Messages=205
134  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=111, nb_calimsMax=3, nb_claims=22 Nb_Messages=199
135  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=109, nb_calimsMax=2, nb_claims=2 Nb_Messages=245
136  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=111, nb_calimsMax=3, nb_claims=19 Nb_Messages=210
137  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=111, nb_calimsMax=3, nb_claims=24 Nb_Messages=205
138  notDtected 2 0 nb_WinessCacheMax=1 nb_WinessCache=108, nb_calimsMax=1, nb_claims=1 Nb_Messages=198
139  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=107, nb_calimsMax=3, nb_claims=4 Nb_Messages=217
140  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=103, nb_calimsMax=4, nb_claims=14 Nb_Messages=193
141  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=107, nb_calimsMax=3, nb_claims=13 Nb_Messages=204
142  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=6 Nb_Messages=186
143  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=15 Nb_Messages=205
144  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=17 Nb_Messages=180
145  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=115, nb_calimsMax=3, nb_claims=14 Nb_Messages=254
146  notDtected 2 0 nb_WinessCacheMax=1 nb_WinessCache=109, nb_calimsMax=1, nb_claims=1 Nb_Messages=184
147  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=107, nb_calimsMax=3, nb_claims=7 Nb_Messages=226
148  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=107, nb_calimsMax=3, nb_claims=23 Nb_Messages=237
149  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=106, nb_calimsMax=3, nb_claims=23 Nb_Messages=200
150  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=109, nb_calimsMax=2, nb_claims=2 Nb_Messages=254
151  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=110, nb_calimsMax=4, nb_claims=22 Nb_Messages=185
152  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=103, nb_calimsMax=2, nb_claims=2 Nb_Messages=211
153  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=108, nb_calimsMax=3, nb_claims=17 Nb_Messages=196
154  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=107, nb_calimsMax=3, nb_claims=17 Nb_Messages=186
155  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=108, nb_calimsMax=2, nb_claims=7 Nb_Messages=194
156  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=111, nb_calimsMax=3, nb_claims=14 Nb_Messages=249
157  notDtected 2 0 nb_WinessCacheMax=1 nb_WinessCache=109, nb_calimsMax=1, nb_claims=1 Nb_Messages=215
158  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=110, nb_calimsMax=4, nb_claims=30 Nb_Messages=219
159  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=110, nb_calimsMax=3, nb_claims=6 Nb_Messages=219
160  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=14 Nb_Messages=183
161  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=109, nb_calimsMax=3, nb_claims=29 Nb_Messages=204
162  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=109, nb_calimsMax=3, nb_claims=17 Nb_Messages=188
163  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=104, nb_calimsMax=3, nb_claims=19 Nb_Messages=192
164  notDtected 2 0 nb_WinessCacheMax=1 nb_WinessCache=112, nb_calimsMax=1, nb_claims=1 Nb_Messages=203
165  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=113, nb_calimsMax=3, nb_claims=25 Nb_Messages=196
166  notDtected 2 0 nb_WinessCacheMax=1 nb_WinessCache=104, nb_calimsMax=1, nb_claims=1 Nb_Messages=181
167  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=20 Nb_Messages=191
168  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=107, nb_calimsMax=3, nb_claims=30 Nb_Messages=195
169  notDtected 2 0 nb_WinessCacheMax=1 nb_WinessCache=108, nb_calimsMax=1, nb_claims=1 Nb_Messages=234
170  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=18 Nb_Messages=193
171  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=109, nb_calimsMax=2, nb_claims=10 Nb_Messages=222
172  detected 2 0 nb_WinessCacheMax=2 nb_WinessCache=100, nb_calimsMax=2, nb_claims=10 Nb_Messages=199
173  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=112, nb_calimsMax=3, nb_claims=34 Nb_Messages=213
174  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=110, nb_calimsMax=3, nb_claims=23 Nb_Messages=188
175  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=111, nb_calimsMax=3, nb_claims=6 Nb_Messages=227
176  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=111, nb_calimsMax=3, nb_claims=23 Nb_Messages=196
177  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=101, nb_calimsMax=4, nb_claims=15 Nb_Messages=172
178  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=107, nb_calimsMax=2, nb_claims=3 Nb_Messages=240
179  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=110, nb_calimsMax=3, nb_claims=21 Nb_Messages=192
180  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=113, nb_calimsMax=2, nb_claims=23 Nb_Messages=236
181  notDtected 2 0 nb_WinessCacheMax=6 nb_WinessCache=102, nb_calimsMax=6, nb_claims=14 Nb_Messages=242
182  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=114, nb_calimsMax=3, nb_claims=20 Nb_Messages=201
183  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=95, nb_calimsMax=3, nb_claims=12 Nb_Messages=173
184  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=110, nb_calimsMax=3, nb_claims=19 Nb_Messages=264
185  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=107, nb_calimsMax=3, nb_claims=7 Nb_Messages=225
186  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=112, nb_calimsMax=4, nb_claims=30 Nb_Messages=221
187  notDtected 2 0 nb_WinessCacheMax=4 nb_WinessCache=108, nb_calimsMax=4, nb_claims=13 Nb_Messages=211
188  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=22 Nb_Messages=215
189  notDtected 2 0 nb_WinessCacheMax=5 nb_WinessCache=104, nb_calimsMax=5, nb_claims=22 Nb_Messages=191
190  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=106, nb_calimsMax=2, nb_claims=4 Nb_Messages=222
191  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=111, nb_calimsMax=2, nb_claims=10 Nb_Messages=197
192  notDtected 2 0 nb_WinessCacheMax=3 nb_WinessCache=107, nb_calimsMax=3, nb_claims=18 Nb_Messages=191
193  notDtected 2 0 nb_WinessCacheMax=2 nb_WinessCache=114, nb_calimsMax=2, nb_claims=16 Nb_Messages=214
194  notDtected 2 0 nb_WinessCacheMax=5 nb_WinessCache=109, nb_calimsMax=5, nb_claims=32 Nb_Messages=199
